ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,reference_designator,data_source,status,source,note
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl11/mopak*/*mopak*.log,0,CP01CNSM-SBD11-01-MOPAK0000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl11/hyd*/*hyd*.log,0,CP01CNSM-SBD11-02-HYDGN0000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl11/metbk*/*metbk*.log,0,CP01CNSM-SBD11-06-METBKA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl12/hyd*/*hyd*.log,0,CP01CNSM-SBD12-03-HYDGN0000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl12/pco2a*/*pco2a*.log,0,CP01CNSM-SBD12-04-PCO2AA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl12/wavss*/*wavss*.log,0,CP01CNSM-SBD12-05-WAVSSA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl12/metbk*/*metbk*.log,0,CP01CNSM-SBD12-06-METBKA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.fdchp-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl12/fdchp*/*fdchp*.log,0,CP01CNSM-SBD12-08-FDCHPA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl26/velpt*/*velpt*.log,0,CP01CNSM-RID26-04-VELPTA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.phsen-abcdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl26/phsen*/*phsen*.log,0,CP01CNSM-RID26-06-PHSEND000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl26/nutnr*/*nutnr*.log,0,CP01CNSM-RID26-07-NUTNRB000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl26/spkir*/*spkir*.log,0,CP01CNSM-RID26-08-SPKIRB000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl27/optaa*/*optaa*.log,0,CP01CNSM-RID27-01-OPTAAD000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl27/flort*/*flort*.log,0,CP01CNSM-RID27-02-FLORTD000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.ctdbp-cdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl27/ctdbp*/*ctdbp*.log,0,CP01CNSM-RID27-03-CTDBPC000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl27/dosta*/*dosta*.log,0,CP01CNSM-RID27-04-DOSTAD000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.adcpt-acfgm-dcl-pd8_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl35/adcp*/*adcp*.log,0,CP01CNSM-MFD35-01-ADCPTF000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.presf-abc-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl35/presf*/*presf*.log,0,CP01CNSM-MFD35-02-PRESFB000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl35/velpt*/*velpt*.log,0,CP01CNSM-MFD35-04-VELPTA000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.pco2w-abc-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl35/pco2w*/*pco2w*.log,0,CP01CNSM-MFD35-05-PCO2WB000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.phsen-abcdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl35/phsen*/*phsen*.log,0,CP01CNSM-MFD35-06-PHSEND000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl37/optaa*/*optaa*.log,0,CP01CNSM-MFD37-01-OPTAAD000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.ctdbp-cdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl37/ctdbp*/*ctdbp*.log,0,CP01CNSM-MFD37-03-CTDBPD000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl37/dosta*/*dosta*.log,0,CP01CNSM-MFD37-04-DOSTAD000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.zplsc-c-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl37/zplsc*/*zplsc*.log,0,CP01CNSM-MFD37-07-ZPLSCC000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/irid2shore/cpm_status*.txt,0,CP01CNSM-SBC11-00-CPMENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/cpm2/syslog/cpm_status*.txt,0,CP01CNSM-RIC21-00-CPMENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/cpm3/syslog/cpm_status*.txt,0,CP01CNSM-MFC31-00-CPMENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl11/syslog*/*syslog*.log,0,CP01CNSM-SBD11-00-DCLENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl12/syslog*/*syslog*.log,0,CP01CNSM-SBD12-00-DCLENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl26/syslog*/*syslog*.log,0,CP01CNSM-RID26-00-DCLENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl27/syslog*/*syslog*.log,0,CP01CNSM-RID27-00-DCLENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl35/syslog*/*syslog*.log,0,CP01CNSM-MFD35-00-DCLENG000,telemetered,NaN,NaN,NaN
CP01CNSM_D00006_ingest.csv,CP01CNSM,006,Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00006/cg_data/dcl37/syslog*/*syslog*.log,0,CP01CNSM-MFD37-00-DCLENG000,telemetered,NaN,NaN,NaN
